Year,CA,ODS,Indicador,Descripción,Value
2016,"MADRID, COMUNIDAD DE",Alianzas para lograr los objetivos,17.1.1.1,,13.195888019
2017,"MADRID, COMUNIDAD DE",Alianzas para lograr los objetivos,17.1.1.1,,13.484136555
