Year,CA,ODS,Indicador,Descripción,Value
2010,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura",9.2.1.1,Valor añadido del sector manufacturero per cápita,1891.123363198
2011,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura",9.2.1.1,Valor añadido del sector manufacturero per cápita,1909.937276685
2012,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura",9.2.1.1,Valor añadido del sector manufacturero per cápita,1818.269895117
2013,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura",9.2.1.1,Valor añadido del sector manufacturero per cápita,1875.424624963
2014,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura",9.2.1.1,Valor añadido del sector manufacturero per cápita,1868.21537786
2015,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura",9.2.1.1,Valor añadido del sector manufacturero per cápita,1908.507311129
2016,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura",9.2.1.1,Valor añadido del sector manufacturero per cápita,1906.886975409
2017,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura",9.2.1.1,Valor añadido del sector manufacturero per cápita,1911.695055959
2018,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura",9.2.1.1,Valor añadido del sector manufacturero per cápita,1921.072496774
2010,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura",9.2.1.2,Valor añadido del sector manufacturero en proporción al PIB,6.124250187
2011,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura",9.2.1.2,Valor añadido del sector manufacturero en proporción al PIB,6.167819465
2012,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura",9.2.1.2,Valor añadido del sector manufacturero en proporción al PIB,5.991260086
2013,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura",9.2.1.2,Valor añadido del sector manufacturero en proporción al PIB,6.224179435
2014,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura",9.2.1.2,Valor añadido del sector manufacturero en proporción al PIB,6.110502628
2015,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura",9.2.1.2,Valor añadido del sector manufacturero en proporción al PIB,5.981426949
2016,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura",9.2.1.2,Valor añadido del sector manufacturero en proporción al PIB,5.806530938
2017,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura",9.2.1.2,Valor añadido del sector manufacturero en proporción al PIB,5.615791386
2018,"MADRID, COMUNIDAD DE","Industria, tinnovación e infraestructura",9.2.1.2,Valor añadido del sector manufacturero en proporción al PIB,5.482421899
