Year,CA,ODS,Indicador,Descripción,Value
2017,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.9.1.1,Tasa de crecimiento del PIB generado por el turismo,14.52723546
2018,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.9.1.1,Tasa de crecimiento del PIB generado por el turismo,5.045225235
2016,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.9.1.2,PIB generado por el turismo en proporción al PIB total,5.194246526
2017,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.9.1.2,PIB generado por el turismo en proporción al PIB total,5.686624577
2018,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.9.1.2,PIB generado por el turismo en proporción al PIB total,5.731212032
