Year,CA,ODS,Indicador,Descripción,Value
2010,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.1.1.1,,-0.096671519
2011,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.1.1.1,,0.331129732
2012,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.1.1.1,,-1.937169612
2013,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.1.1.1,,-1.078731255
2014,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.1.1.1,,1.765083225
2015,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.1.1.1,,3.583779029
2016,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.1.1.1,,2.86989009
2017,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.1.1.1,,2.923314195
2018,"MADRID, COMUNIDAD DE",Trabajo decente y crecimiento económico,8.1.1.1,,1.856543631
