Indicator
#1-2-1
#1-2-2
#10-1-1
#10-2-1
#10-4-1
#11-1-1
#13-2-1
#16-1-4
#17-1-1
#2-1-1
#2-2-2
#2-4-1
#3-8-1
#3-a-1
#3-c-1
#4-3-1
#4-5-1
#9-2-1
#9-2-2
#9-4-1
#9-5-1
