Indicator
#1-2-1
#1-2-2
#1-4-1
#10-1-1
#10-2-1
#10-4-1
#13-2-1
#16-1-4
#2-1-1
#2-2-2
#3-1-2
#3-a-1
#3-c-1
#4-3-1
#4-5-1
#5-4-1
#5-a-1
#5-a-2
#8-2-1
#8-5-1
#8-9-1
#9-2-1
#9-2-2
#9-4-1
#9-5-1
