"Year","CA","ODS","Indicador","Descripción","Value"
2011,"MADRID, COMUNIDAD DE","Educación de calidad","4.3.1.1","Personas entre 18 y 64 años de edad que han realizado actividades educativas en los últimos 12 meses según tipo de educación","48.858365113"
2016,"MADRID, COMUNIDAD DE","Educación de calidad","4.3.1.1","Personas entre 18 y 64 años de edad que han realizado actividades educativas en los últimos 12 meses según tipo de educación","52.754857768"
