"Year","CA","ODS","Indicador","Descripción","Value"
2010,"MADRID, COMUNIDAD DE","Hambre cero","2.4.1.1",,"1.837497229"
2011,"MADRID, COMUNIDAD DE","Hambre cero","2.4.1.1",,"1.922877998"
2012,"MADRID, COMUNIDAD DE","Hambre cero","2.4.1.1",,"2.038272943"
2013,"MADRID, COMUNIDAD DE","Hambre cero","2.4.1.1",,"2.237274735"
2014,"MADRID, COMUNIDAD DE","Hambre cero","2.4.1.1",,"2.909986262"
2015,"MADRID, COMUNIDAD DE","Hambre cero","2.4.1.1",,"2.574311356"
2016,"MADRID, COMUNIDAD DE","Hambre cero","2.4.1.1",,"2.930060117"
2017,"MADRID, COMUNIDAD DE","Hambre cero","2.4.1.1",,"2.911243485"
2018,"MADRID, COMUNIDAD DE","Hambre cero","2.4.1.1",,"3.008795913"
2019,"MADRID, COMUNIDAD DE","Hambre cero","2.4.1.1",,"3.164576127"
